SET_CN,SETTING_ID,MEASUREMENT_DATE,MEASUREMENT_NO,COUNTY,PLOT,TREE_CN,TAG_ID,LIVE_DEAD,SPECIES_SYMBOL,DIAMETER,TPA_EQUIV,BASAL_AREA_EQUIV,HEIGHT,HEIGHT_METHOD,CROWN_RATIO,CROWN_CLASS,AGE,AGE_METHOD,RADIAL_GROWTH,RADIAL_GROWTH_METHOD,HEIGHT_GROWTH,HEIGHT_GROWTH_METHOD,SNAG_DECAY_CLASS
1619250010602,300100759031,9/29/2009,2,007,1,11013391010602,0008,L,PSME,8.400,24.07000,9.2630,33.0000,M,30,IN,94,DM,5,M,,,
1619488010602,300104350121,10/4/2009,2,043,1,11015588010602,0001,D,PICO,5.800,24.07000,4.4162,28.0000,M,,,,,,,,,1
1619488010602,300104350121,10/4/2009,2,043,1,11015591010602,0002,D,PICO,9.300,24.07000,11.3542,44.0000,M,,,,,,,,,1
1619488010602,300104350121,10/4/2009,2,043,1,11015592010602,0003,D,PICO,10.200,24.07000,13.6581,43.0000,M,,,,,,,,,1
1619488010602,300104350121,10/4/2009,2,043,1,11015590010602,0004,D,PICO,7.800,24.07000,7.9869,40.0000,M,,,,,,,,,1
1619488010602,300104350121,10/4/2009,2,043,1,11015589010602,0005,D,PICO,6.200,24.07000,5.0463,36.0000,M,,,,,,,,,1
1619488010602,300104350121,10/4/2009,2,043,1,11015581010602,0006,D,PICO,7.500,24.07000,7.3844,34.0000,M,,,,,,,,,1
1619488010602,300104350121,10/4/2009,2,043,1,11015594010602,0007,L,PSME,16.100,24.07000,34.0285,50.0000,M,45,CO,132,DM,4,M,,,
1619488010602,300104350121,10/4/2009,2,043,1,11015580010602,0008,D,PICO,6.400,24.07000,5.3771,34.0000,M,,,,,,,,,1
1619488010602,300104350121,10/4/2009,2,043,1,11015582010602,0009,D,PICO,8.000,24.07000,8.4018,27.0000,M,,,,,,,,,1
1619488010602,300104350121,10/4/2009,2,043,1,11015585010602,0010,D,PICO,9.800,24.07000,12.6079,42.0000,M,,,,,,,,,1
1619488010602,300104350121,10/4/2009,2,043,1,11015579010602,0011,D,PICO,6.100,24.07000,4.8848,34.0000,M,,,,,,,,,1
1619488010602,300104350121,10/4/2009,2,043,1,11015578010602,0012,L,PICO,5.300,24.07000,3.6876,40.0000,C,15,CO,127,DC,4,C,,,
1619488010602,300104350121,10/4/2009,2,043,1,11015587010602,0013,D,PICO,5.000,24.07000,3.2819,46.0000,M,,,,,,,,,1
1619488010602,300104350121,10/4/2009,2,043,1,11015583010602,0014,D,PICO,8.000,24.07000,8.4018,36.0000,M,,,,,,,,,1
1619488010602,300104350121,10/4/2009,2,043,1,11015584010602,0015,D,PICO,8.300,24.07000,9.0437,37.0000,M,,,,,,,,,1
1619488010602,300104350121,10/4/2009,2,043,1,11015593010602,0016,L,PICO,,599.72000,,0.4000,M,60,OV,,,,,,,
1619488010602,300104350121,10/4/2009,2,043,1,11015586010602,0017,L,PICO,4.500,299.86000,33.1176,28.0000,M,20,CO,92,DM,3,M,,,
1627001010602,300104350131,11/5/2008,2,043,1,11057867010602,0001,D,PICO,12.500,27.07000,23.0687,55.0000,M,,,,,,,,,1
1627001010602,300104350131,11/5/2008,2,043,1,11057868010602,0002,D,PIPO,7.300,27.07000,7.8677,23.0000,M,,,,,,,,,1
1627001010602,300104350131,11/5/2008,2,043,1,11057869010602,0003,D,PIPO,14.100,27.07000,29.3523,56.0000,M,,,,,,,,,1
1627001010602,300104350131,11/5/2008,2,043,1,11057866010602,0004,L,PICO,7.300,27.07000,7.8677,55.0000,M,25,CO,112,DM,1,M,,,
1627001010602,300104350131,11/5/2008,2,043,1,11057861010602,0005,L,PICO,5.600,27.07000,4.6300,55.0000,C,15,IN,112,DC,1,C,,,
1627001010602,300104350131,11/5/2008,2,043,1,11057863010602,0006,D,PICO,9.700,27.07000,13.8914,57.0000,M,,,,,,,,,1
1627001010602,300104350131,11/5/2008,2,043,1,11057862010602,0007,D,PICO,9.400,27.07000,13.0455,57.0000,M,,,,,,,,,1
1627001010602,300104350131,11/5/2008,2,043,1,11057864010602,0008,D,PICO,10.400,27.07000,15.9687,57.0000,M,,,,,,,,,1
1627001010602,300104350131,11/5/2008,2,043,1,11057865010602,0009,D,PICO,10.600,27.07000,16.5888,53.0000,M,,,,,,,,,1
1619316010602,300104350181,7/28/2010,2,043,1,11013941010602,0001,D,PICO,9.500,24.07000,11.8478,47.0000,M,,,,,,,,,1
1619316010602,300104350181,7/28/2010,2,043,1,11013940010602,0002,D,PICO,5.600,24.07000,4.1169,35.0000,M,,,,,,,,,1
1619316010602,300104350181,7/28/2010,2,043,1,11013934010602,0003,D,PICO,5.200,24.07000,3.5498,37.0000,M,,,,,,,,,1
1619316010602,300104350181,7/28/2010,2,043,1,11013943010602,0004,D,PICO,12.900,24.07000,21.8459,42.0000,M,,,,,,,,,1
1619316010602,300104350181,7/28/2010,2,043,1,11013938010602,0005,D,PICO,7.600,24.07000,7.5826,41.0000,M,,,,,,,,,1
1619316010602,300104350181,7/28/2010,2,043,1,11013937010602,0006,D,PICO,6.900,24.07000,6.2501,40.0000,M,,,,,,,,,1
1619316010602,300104350181,7/28/2010,2,043,1,11013942010602,0007,D,PICO,11.200,24.07000,16.4675,48.0000,M,,,,,,,,,3
1619316010602,300104350181,7/28/2010,2,043,1,11013935010602,0008,D,PICO,5.800,24.07000,4.4162,39.0000,M,,,,,,,,,1
1619316010602,300104350181,7/28/2010,2,043,1,11013936010602,0009,D,PICO,5.800,24.07000,4.4162,41.0000,M,,,,,,,,,1
1619316010602,300104350181,7/28/2010,2,043,1,11013939010602,0010,D,PICO,11.200,24.07000,16.4675,48.0000,M,,,,,,,,,1
1619316010602,300104350181,7/28/2010,2,043,1,11013933010602,0011,L,ABLA,,599.72000,,2.0000,M,60,OV,,,,,,,
1619318010602,300104350201,11/17/2009,2,043,1,11013978010602,0001,L,PICO,6.000,24.07000,4.7260,51.0000,M,15,CO,131,DM,3,M,,,
1619318010602,300104350201,11/17/2009,2,043,1,11013976010602,0002,D,PICO,5.400,24.07000,3.8281,52.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013961010602,0003,D,PICO,6.600,24.07000,5.7185,44.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013981010602,0004,D,PICO,9.800,24.07000,12.6079,68.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013964010602,0005,D,PICO,6.800,24.07000,6.0703,56.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013948010602,0006,D,PICO,5.300,24.07000,3.6876,50.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013971010602,0007,D,PICO,7.900,24.07000,8.1930,63.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013960010602,0008,D,PICO,6.600,24.07000,5.7185,58.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013966010602,0009,L,PICO,6.900,24.07000,6.2501,51.0000,C,25,CO,131,DC,3,C,,,
1619318010602,300104350201,11/17/2009,2,043,1,11013979010602,0010,D,PICO,6.100,24.07000,4.8848,48.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013956010602,0011,L,PICO,6.000,24.07000,4.7260,51.0000,C,25,CO,131,DC,3,C,,,
1619318010602,300104350201,11/17/2009,2,043,1,11013975010602,0012,D,PICO,5.400,24.07000,3.8281,48.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013962010602,0013,D,PICO,6.800,24.07000,6.0703,50.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013970010602,0014,D,PICO,7.400,24.07000,7.1888,58.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013958010602,0015,D,PICO,6.100,24.07000,4.8848,53.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013949010602,0016,L,PICO,5.300,24.07000,3.6876,51.0000,C,25,CO,131,DC,3,C,,,
1619318010602,300104350201,11/17/2009,2,043,1,11013959010602,0017,D,PICO,6.200,24.07000,5.0463,48.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013973010602,0018,D,PICO,8.600,24.07000,9.7093,56.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013965010602,0019,D,PICO,6.800,24.07000,6.0703,51.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013947010602,0020,L,PICO,5.200,24.07000,3.5498,51.0000,C,30,IN,131,DC,3,C,,,
1619318010602,300104350201,11/17/2009,2,043,1,11013952010602,0021,L,PICO,5.700,24.07000,4.2652,51.0000,C,20,CO,131,DC,3,C,,,
1619318010602,300104350201,11/17/2009,2,043,1,11013953010602,0022,L,PICO,5.900,24.07000,4.5698,51.0000,C,15,IN,131,DC,3,C,,,
1619318010602,300104350201,11/17/2009,2,043,1,11013974010602,0023,D,PICO,5.400,24.07000,3.8281,20.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013977010602,0024,D,PICO,5.600,24.07000,4.1169,35.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013980010602,0025,D,PICO,6.300,24.07000,5.2104,24.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013957010602,0026,L,PICO,6.000,24.07000,4.7260,51.0000,C,25,CO,131,DC,3,C,,,
1619318010602,300104350201,11/17/2009,2,043,1,11013967010602,0027,L,PICO,7.000,24.07000,6.4326,51.0000,C,30,CO,131,DC,3,C,,,
1619318010602,300104350201,11/17/2009,2,043,1,11013968010602,0028,D,PICO,7.100,24.07000,6.6177,49.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013954010602,0029,L,PICO,5.900,24.07000,4.5698,51.0000,C,15,CO,131,DC,3,C,,,
1619318010602,300104350201,11/17/2009,2,043,1,11013945010602,0030,L,PICO,5.000,24.07000,3.2819,51.0000,C,15,CO,131,DC,3,C,,,
1619318010602,300104350201,11/17/2009,2,043,1,11013972010602,0031,D,PICO,8.300,24.07000,9.0437,63.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013946010602,0032,L,PICO,5.200,24.07000,3.5498,51.0000,C,10,CO,131,DC,3,C,,,
1619318010602,300104350201,11/17/2009,2,043,1,11013955010602,0033,D,PICO,5.900,24.07000,4.5698,46.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013969010602,0034,D,PICO,7.200,24.07000,6.8054,54.0000,M,,,,,,,,,1
1619318010602,300104350201,11/17/2009,2,043,1,11013950010602,0035,L,PICO,5.400,24.07000,3.8281,51.0000,C,15,CO,131,DC,3,C,,,
1619318010602,300104350201,11/17/2009,2,043,1,11013963010602,0036,L,PICO,6.800,24.07000,6.0703,51.0000,C,15,CO,131,DC,3,C,,,
1619318010602,300104350201,11/17/2009,2,043,1,11013951010602,0037,L,PICO,5.600,24.07000,4.1169,51.0000,C,15,CO,131,DC,3,C,,,
1619318010602,300104350201,11/17/2009,2,043,1,11013944010602,0038,L,ABLA,,299.86000,,0.5000,M,50,OV,,,,,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013338010602,0001,D,PICO,11.800,24.07000,18.2791,58.0000,M,,,,,,,,,1
1619246010602,300104350211,7/28/2010,2,043,1,11013357010602,0002,L,PSME,7.100,24.07000,6.6177,27.0000,M,20,IN,144,DM,6,M,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013356010602,0003,D,PSME,6.400,24.07000,5.3771,28.0000,M,,,,,,,,,1
1619246010602,300104350211,7/28/2010,2,043,1,11013350010602,0004,L,PSME,7.500,24.07000,7.3844,27.0000,C,40,CO,144,DC,6,C,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013358010602,0005,L,PSME,9.400,24.07000,11.5997,39.0000,M,40,CO,170,DM,3,M,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013340010602,0006,L,PSME,5.600,24.07000,4.1169,27.0000,C,30,IN,144,DC,6,C,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013344010602,0007,L,PSME,6.300,24.07000,5.2104,27.0000,C,30,IN,144,DC,6,C,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013341010602,0008,L,PSME,5.600,24.07000,4.1169,27.0000,C,35,IN,144,DC,6,C,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013339010602,0009,L,PSME,5.200,24.07000,3.5498,27.0000,C,70,IN,144,DC,6,C,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013352010602,0010,L,PSME,7.500,24.07000,7.3844,27.0000,C,60,CO,144,DC,6,C,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013346010602,0011,L,PSME,6.500,24.07000,5.5465,27.0000,C,45,IN,144,DC,6,C,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013351010602,0012,L,PSME,7.500,24.07000,7.3844,27.0000,C,50,CO,144,DC,6,C,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013345010602,0013,L,PSME,6.400,24.07000,5.3771,27.0000,C,55,IN,144,DC,6,C,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013353010602,0014,L,PSME,7.500,24.07000,7.3844,27.0000,C,60,CO,144,DC,6,C,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013342010602,0015,L,PSME,5.800,24.07000,4.4162,27.0000,C,40,IN,144,DC,6,C,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013349010602,0016,L,PSME,7.300,24.07000,6.9958,27.0000,C,50,CO,144,DC,6,C,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013347010602,0017,L,PSME,6.700,24.07000,5.8931,27.0000,C,50,CO,144,DC,6,C,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013336010602,0018,D,PICO,7.200,24.07000,6.8054,39.0000,M,,,,,,,,,1
1619246010602,300104350211,7/28/2010,2,043,1,11013337010602,0019,D,PICO,8.000,24.07000,8.4018,38.0000,M,,,,,,,,,1
1619246010602,300104350211,7/28/2010,2,043,1,11013355010602,0020,L,PSME,9.900,24.07000,12.8665,39.0000,C,50,CO,170,DC,3,C,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013354010602,0021,L,PSME,9.400,24.07000,11.5997,39.0000,C,55,CO,170,DC,3,C,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013343010602,0022,L,PSME,5.800,24.07000,4.4162,27.0000,C,40,CO,144,DC,6,C,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013335010602,0023,D,PICO,5.300,24.07000,3.6876,41.0000,M,,,,,,,,,1
1619246010602,300104350211,7/28/2010,2,043,1,11013348010602,0024,L,PSME,6.700,24.07000,5.8931,27.0000,C,70,CO,144,DC,6,C,,,
1619246010602,300104350211,7/28/2010,2,043,1,11013359010602,0025,L,PSME,,1199.44000,,0.1000,M,50,OV,,,,,,,
1619248010602,300104350221,11/20/2009,2,043,1,11013367010602,0001,L,ABLA,6.000,24.07000,4.7260,45.0000,M,65,IN,113,DM,3,M,,,
1619248010602,300104350221,11/20/2009,2,043,1,11013375010602,0002,D,PICO,7.700,24.07000,7.7835,52.0000,M,,,,,,,,,2
1619248010602,300104350221,11/20/2009,2,043,1,11013377010602,0003,D,PICO,13.800,24.07000,25.0005,66.0000,M,,,,,,,,,1
1619248010602,300104350221,11/20/2009,2,043,1,11013374010602,0004,L,PICO,5.200,24.07000,3.5498,41.0000,M,15,IN,126,DM,2,M,,,
1619248010602,300104350221,11/20/2009,2,043,1,11013376010602,0005,L,PICO,9.600,24.07000,12.0986,63.0000,M,25,CO,155,DM,3,M,,,
1619248010602,300104350221,11/20/2009,2,043,1,11013363010602,0006,L,ABLA,5.000,24.07000,3.2819,45.0000,C,60,IN,113,DC,3,C,,,
1619248010602,300104350221,11/20/2009,2,043,1,11013378010602,0007,D,PICO,8.900,24.07000,10.3985,57.0000,M,,,,,,,,,2
1619248010602,300104350221,11/20/2009,2,043,1,11013364010602,0008,L,ABLA,5.400,24.07000,3.8281,45.0000,C,60,IN,113,DC,3,C,,,
1619248010602,300104350221,11/20/2009,2,043,1,11013365010602,0009,L,ABLA,6.900,24.07000,6.2501,45.0000,C,75,CO,113,DC,3,C,,,
1619248010602,300104350221,11/20/2009,2,043,1,11013373010602,0010,D,PICO,8.400,24.07000,9.2630,51.0000,M,,,,,,,,,1
1619248010602,300104350221,11/20/2009,2,043,1,11013371010602,0011,D,PICO,6.400,24.07000,5.3771,53.0000,M,,,,,,,,,1
1619248010602,300104350221,11/20/2009,2,043,1,11013372010602,0012,D,PICO,7.400,24.07000,7.1888,51.0000,M,,,,,,,,,1
1619248010602,300104350221,11/20/2009,2,043,1,11013366010602,0013,L,ABLA,1.900,299.86000,5.9039,14.0000,M,30,OV,43,TM,,,0.6,M,
1619248010602,300104350221,11/20/2009,2,043,1,11013360010602,0014,L,ABLA,1.400,299.86000,3.2055,14.0000,C,55,OV,43,TC,,,0.6,C,
1619248010602,300104350221,11/20/2009,2,043,1,11013362010602,0015,L,ABLA,2.000,299.86000,6.5417,14.0000,C,50,OV,43,TC,,,0.6,C,
1619248010602,300104350221,11/20/2009,2,043,1,11013361010602,0016,L,ABLA,1.800,299.86000,5.2988,14.0000,C,40,OV,43,TC,,,0.6,C,
1619248010602,300104350221,11/20/2009,2,043,1,11013370010602,0017,L,ABLA,,2698.74000,,3.0000,M,60,OV,,,,,,,
1619248010602,300104350221,11/20/2009,2,043,1,11013379010602,0018,L,PIEN,,899.58000,,2.0000,M,60,OV,,,,,,,
1619248010602,300104350221,11/20/2009,2,043,1,11013369010602,0019,L,ABLA,,5097.62000,,1.0000,M,80,OV,,,,,,,
1619248010602,300104350221,11/20/2009,2,043,1,11013368010602,0020,L,ABLA,,4797.76000,,0.2000,M,80,OV,,,,,,,
1619214010602,300104950011,9/30/2010,2,049,1,11013164010602,0001,D,PICO,8.200,24.07000,8.8271,39.0000,M,,,,,,,,,1
1619214010602,300104950011,9/30/2010,2,049,1,11013175010602,0002,D,PSME,18.300,24.07000,43.9636,74.0000,M,,,,,,,,,2
